,Bharthal,Delhi_Amberhai_D,Delhi_ChhotialPalam_D,Delhi_Lajwanti,Delhi_SubhashNagar_D,Delhi_MyapuriPhase1_D,Delhi_MotiNgr_D,Delhi_Shadipur_D,Delhi_Karolbagh_D,Gurgaon_Nathupur_D,Gurgaon_Sector28_D,Gurgaon_MotiVhr_ACH,Gurgaon_Central_D_17,Gurgaon_Central_D_16,Delhi_Samlkha_D,Gurgaon_Central_D_15,Delhi_Matiala_D,Delhi_Vikaspri_DC,Delhi_Peeragarhi_D,Delhi_Mundka_D,Delhi_BudhVihar_D,Delhi_Najafgarh_D,Delhi_SaraswatiVihar_D,Delhi_Rohini_D,Delhi_Barwala,Delhi_KhanpurColony_D,Delhi_shahpurJat,Delhi_Mohammadpur,Delhi_MalviyaNagar_NDC,Gurgaon_Kadipur,Gurgaon_Hasanpur_D,Gurgaon_BadshahpurPPN_D,Gurgaon_Wazirabad_D,Delhi_JaitpurRd_D,Delhi_Mehrauli_D,Delhi_Ghitorni_D,Delhi_Okhla_D,Delhi_OkhlaPh2_D,Delhi_MyurVhrPhs3_D,Delhi_Patparganj_D,Delhi_Bhogal,Delhi_Daryaganj_D,Delhi_KhurejiKhas_D,Delhi_SDMOfcBurari_D,Delhi_KalyanVhr_D,Delhi_AshkVihr_D,Delhi_Jahangirpuri_D,Delhi_DilshdGrdn_D,Ghaziabad_Sahibabad_D,Delhi_DspnsryChwk_D,Ghaziabad_RjndrNgr_DC
Delhi_BudhVihar_D,27.7 km,21.6 km,18.5 km,18.6 km,17.3 km,17.7 km,13.3 km,15.3 km,16.8 km,40.8 km,41.2 km,42.7 km,42.9 km,39.7 km,33.9 km,44.1 km,16.3 km,13.3 km,6.6 km,10.1 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Najafgarh_D,13.2 km,8.6 km,11.2 km,13.7 km,14.1 km,14.5 km,15.9 km,18.6 km,25.2 km,26.3 km,26.7 km,28.3 km,28.5 km,19.3 km,16.0 km,18.1 km,9.4 km,9.6 km,18.2 km,12.7 km,21.6 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_SaraswatiVihar_D,34.2 km,20.1 km,17.0 km,17.0 km,11.6 km,12.1 km,7.7 km,9.6 km,11.1 km,35.1 km,35.5 km,37.1 km,37.3 km,34.0 km,28.2 km,38.5 km,14.7 km,11.8 km,5.1 km,10.9 km,6.7 km,20.2 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Rohini_D,26.8 km,20.7 km,17.7 km,17.7 km,14.4 km,14.8 km,10.4 km,12.4 km,13.9 km,37.9 km,38.3 km,39.8 km,40.0 km,36.8 km,31.0 km,41.2 km,15.4 km,12.4 km,5.8 km,11.6 km,4.3 km,20.9 km,4.0 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Barwala,32.1 km,26.0 km,22.9 km,22.9 km,19.6 km,20.1 km,15.6 km,17.6 km,19.1 km,43.1 km,43.5 km,45.0 km,45.3 km,42.0 km,36.2 km,46.5 km,20.6 km,17.6 km,11.0 km,13.9 km,4.7 km,26.4 km,9.3 km,5.2 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_KhanpurColony_D,27.8 km,25.5 km,20.8 km,22.3 km,22.7 km,23.1 km,24.2 km,24.2 km,21.1 km,14.9 km,18.5 km,22.1 km,22.4 km,21.0 km,21.8 km,22.5 km,24.8 km,27.7 km,29.3 km,35.2 km,35.6 km,32.0 km,30.1 km,35.0 km,46.3 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_shahpurJat,23.0 km,20.8 km,16.0 km,17.5 km,17.1 km,17.5 km,18.6 km,18.6 km,15.6 km,15.3 km,24.3 km,25.8 km,26.1 km,22.8 km,17.0 km,27.3 km,20.0 km,22.9 km,23.7 km,29.6 km,30.0 km,27.2 km,24.6 km,29.4 km,34.0 km,6.3 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Mohammadpur,19.6 km,17.3 km,12.6 km,14.1 km,13.4 km,13.9 km,14.9 km,15.0 km,13.7 km,20.5 km,20.8 km,22.4 km,22.6 km,19.4 km,13.6 km,23.8 km,16.6 km,19.3 km,20.1 km,25.9 km,26.4 km,23.8 km,20.9 km,25.7 km,30.4 km,10.1 km,5.4 km,1 m,,,,,,,,,,,,,,,,,,,,,,,
Delhi_MalviyaNagar_NDC,27.2 km,25.0 km,20.2 km,21.7 km,21.7 km,22.2 km,23.2 km,23.3 km,21.3 km,14.6 km,18.1 km,21.8 km,22.0 km,20.7 km,21.2 km,22.1 km,24.2 km,27.1 km,28.4 km,34.2 km,34.7 km,31.4 km,29.2 km,34.1 km,38.7 km,3.5 km,6.1 km,9.6 km,1 m,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Kadipur,19.1 km,28.0 km,30.3 km,31.8 km,37.1 km,34.3 km,38.7 km,37.8 km,37.3 km,17.4 km,13.5 km,11.3 km,10.1 km,13.9 km,19.7 km,7.5 km,34.3 km,37.2 km,43.8 km,36.6 km,47.7 km,24.6 km,44.6 km,49.5 km,54.1 km,29.3 km,33.8 km,31.4 km,28.3 km,1 m,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Hasanpur_D,31.3 km,32.4 km,34.8 km,36.3 km,41.6 km,38.8 km,43.1 km,42.2 km,41.8 km,21.9 km,18.0 km,15.8 km,14.5 km,18.4 km,24.1 km,17.5 km,38.8 km,41.7 km,48.3 km,54.1 km,52.2 km,39.7 km,49.1 km,53.9 km,58.6 km,33.8 km,38.2 km,35.8 km,32.8 km,10.5 km,1 m,,,,,,,,,,,,,,,,,,,,
Gurgaon_BadshahpurPPN_D,28.5 km,29.6 km,31.9 km,33.5 km,38.7 km,35.9 km,40.3 km,39.4 km,38.9 km,19.0 km,15.1 km,10.6 km,11.7 km,15.5 km,21.3 km,14.6 km,35.9 km,38.8 km,45.4 km,51.2 km,49.3 km,36.8 km,46.2 km,51.1 km,55.7 km,31.2 km,35.4 km,33.0 km,30.3 km,12.2 km,4.2 km,1 m,,,,,,,,,,,,,,,,,,,
Gurgaon_Wazirabad_D,23.0 km,24.1 km,26.5 km,28.0 km,33.3 km,30.5 km,34.8 km,33.9 km,33.5 km,11.1 km,6.3 km,5.1 km,5.1 km,10.1 km,15.8 km,9.2 km,30.5 km,33.4 km,40.0 km,45.8 km,43.9 km,31.4 km,40.8 km,45.6 km,50.3 km,23.4 km,30.0 km,27.5 km,22.4 km,11.7 km,12.0 km,8.5 km,1 m,,,,,,,,,,,,,,,,,,
Delhi_JaitpurRd_D,38.0 km,35.8 km,31.1 km,32.6 km,30.2 km,30.6 km,31.7 km,26.7 km,25.4 km,24.1 km,37.0 km,40.9 km,41.1 km,37.8 km,32.0 km,42.3 km,35.1 km,36.1 km,36.8 km,42.7 km,43.1 km,42.2 km,37.7 km,45.0 km,47.8 km,9.3 km,16.6 km,19.2 km,13.3 km,48.4 km,43.4 km,39.9 km,35.0 km,1 m,,,,,,,,,,,,,,,,,
Delhi_Mehrauli_D,20.2 km,22.0 km,16.7 km,18.2 km,21.9 km,20.7 km,23.4 km,23.5 km,23.7 km,9.5 km,13.1 km,16.7 km,16.9 km,15.6 km,14.2 km,17.1 km,20.7 km,23.6 km,28.6 km,34.4 km,34.1 km,27.9 km,29.4 km,34.2 km,38.9 km,7.3 km,7.7 km,9.8 km,6.3 km,26.2 km,31.8 km,25.2 km,18.9 km,16.6 km,1 m,,,,,,,,,,,,,,,,
Delhi_Ghitorni_D,21.0 km,22.1 km,24.4 km,26.0 km,31.2 km,28.4 km,32.8 km,31.9 km,31.4 km,5.8 km,9.4 km,13.0 km,13.2 km,11.9 km,13.8 km,13.4 km,28.4 km,31.3 km,37.9 km,43.7 km,41.8 km,29.3 km,38.7 km,43.6 km,48.2 km,10.4 km,10.8 km,13.0 km,9.4 km,22.5 km,28.1 km,21.4 km,15.2 km,19.7 km,6.7 km,1 m,,,,,,,,,,,,,,,
Delhi_Okhla_D,31.2 km,29.0 km,24.2 km,25.7 km,26.3 km,26.8 km,27.8 km,22.8 km,21.5 km,21.5 km,32.5 km,34.0 km,34.3 km,31.0 km,25.2 km,35.5 km,28.2 km,31.1 km,33.0 km,38.8 km,39.3 km,35.4 km,33.8 km,41.1 km,43.9 km,6.7 km,9.7 km,13.6 km,10.7 km,41.6 km,47.2 km,42.5 km,36.7 km,7.8 km,13.4 km,16.5 km,1 m,,,,,,,,,,,,,,
Delhi_OkhlaPh2_D,29.8 km,27.6 km,22.8 km,24.4 km,23.6 km,24.0 km,25.1 km,25.1 km,20.1 km,22.1 km,31.1 km,32.6 km,32.9 km,29.6 km,23.8 km,34.1 km,26.8 km,29.7 km,30.2 km,36.1 km,36.5 km,34.0 km,31.1 km,35.9 km,42.6 km,7.2 km,8.3 km,12.3 km,12.2 km,40.2 km,45.8 km,41.1 km,37.2 km,8.6 km,14.0 km,17.1 km,2.5 km,1 m,,,,,,,,,,,,,
Delhi_MyurVhrPhs3_D,38.4 km,36.1 km,31.4 km,32.9 km,30.6 km,31.1 km,32.1 km,23.3 km,18.0 km,39.2 km,39.6 km,41.2 km,41.4 km,38.1 km,32.4 km,42.6 km,35.4 km,36.6 km,37.1 km,43.0 km,39.0 km,42.6 km,33.2 km,34.5 km,37.4 km,19.4 km,17.0 km,19.7 km,22.9 km,48.7 km,54.3 km,49.6 km,45.7 km,16.8 km,24.7 km,27.8 km,15.5 km,15.6 km,1 m,,,,,,,,,,,,
Delhi_Patparganj_D,38.2 km,35.9 km,31.2 km,32.7 km,30.4 km,30.9 km,31.9 km,22.6 km,16.9 km,39.0 km,39.4 km,41.0 km,41.2 km,37.9 km,32.2 km,42.4 km,35.2 km,36.3 km,32.7 km,38.6 km,34.6 km,42.4 km,28.8 km,30.1 km,32.9 km,20.8 km,18.4 km,19.7 km,25.5 km,48.5 km,54.1 km,49.4 km,45.5 km,22.7 km,25.9 km,28.9 km,21.4 km,21.5 km,5.1 km,1 m,,,,,,,,,,,
Delhi_Bhogal,27.9 km,25.6 km,20.9 km,22.4 km,20.2 km,20.6 km,21.7 km,14.2 km,12.8 km,28.8 km,29.2 km,30.7 km,30.9 km,27.7 km,21.9 km,32.1 km,24.9 km,24.7 km,21.6 km,27.4 km,37.6 km,32.1 km,21.3 km,33.1 km,35.9 km,10.8 km,8.2 km,9.2 km,14.4 km,38.3 km,43.9 km,39.1 km,35.2 km,13.0 km,15.0 km,18.1 km,8.2 km,8.3 km,12.6 km,11.8 km,1 m,,,,,,,,,,
