center_code,center_name,hq_name,city,facility,status,region,state,country,property_lat,property_long,property_id,center_address,center_phone,center_pincode,enable_bag_guide,is_bagging_allowed,sort_code,region1,parent_center,property_facility_id
INMHAQMO,Aurangabad_MhadaColony_D,Aurangabad_MhadaColony_D (Maharashtra),Aurangabad,DC,Active,West,Maharashtra,India,19.860727,75.32992,74880bb6-a52b-4fa1-93f5-c567c9b0de43,"Plot no.1, S.no.45, K.V Pride, Mhada Colony, Maharashtra - 431001",9970672410,431001,FALSE,TRUE,AUR/HAD,West,Aurangabad_Gngapr_H,72e7e403-e6c8-49f5-a367-fc1b1896958d
IN412411A1A,Alephata_SamarthNgr_D,Alephata_SamarthNgr_D (Maharashtra),Alephata,DC,Inactive,West,Maharashtra,India,19.181404,74.09977,8e4725ed-11ea-407a-8dbd-410b07b8f2d5,Shop No 7 Shree Swami Samarth Nagar Alephata Junner Dist Pune Maharashtra -412411,,412411,FALSE,FALSE,ALP/SMR,West,Pune_Sudhwadi_GW,1c29f937-13e9-4941-a69e-55c91486e0e1
INRJAANT,Pindwara_SirohiRd_DPP,Pindwara_SirohiRd_DPP (Rajasthan),Pindwara,DC,Inactive,North,Rajasthan,India,24.790434,73.03629,c4143c3f-f162-4743-a03f-004e885998e1,"Royal Electrical Store, Ajaypura Colony, Sirohi Road, Pindwara 307022",,307022,FALSE,FALSE,PDW/SRH,North,Pali_SumerpurRd_I,85128753-cf40-4876-8fb0-14a47ea92b0f
INTSAANM,Pregnapur_Gajwel_D,Pregnapur_Gajwel_D (Telangana),Pregnapur,DC,Inactive,South,Telangana,India,17.835846,78.69842,9bcee4f7-81c3-409c-90d9-cb8b71a159ff,"Sy No:599/AA,Sangupalli road,Gajwel,Telangana-502311",9948151668,502311,FALSE,FALSE,PRE/GJW,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
INDLALJH,Delhi_KrishnaNagar_D,Delhi_KrishnaNagar_D (Delhi),Delhi,DC,Inactive,North,Delhi,India,28.651,77.292,a26f5cdd-aa78-4256-9cfd-614024c85663,"A-80, Gali No 6, Jagatpuri, Krishna Nagar, Delhi 110051",,110051,FALSE,FALSE,DEL/KRI,North,Delhi_Patparganj_DPC,8775c382-b62d-4b05-80bc-f1d2f75933b4
IND302006AAA,Jaipur,Jaipur (Rajasthan),Jaipur,DC,Inactive,North,Rajasthan,India,26.89397,75.787125,0fda19a3-4eef-49ce-9851-6c6d7f7edbe6,"Plot no. B-69 Basement, Dinesh Plaza, 22 godam ind. area, Jaipur-302006",,302006,FALSE,TRUE,JAI/BAI,North,Jaipur_Central_I_7,2392dbd8-2de6-4890-abaa-d89688424458
INAPARZX,Kathipudi_Tuni_D,Kathipudi_Tuni_D (Andhra Pradesh),Kathipudi,DC,Active,South,Andhra Pradesh,India,17.35058,82.531166,1566aeb7-27d5-42b6-bb75-29111e0204a6,"#8-343/3, opp to substation road,S Annavaram, Tuni, Andhra Pradesh-533401",9505554457,533401,FALSE,TRUE,KAT/TUN,South,Rajahmundry_Rajanagaram_H,7d0801e5-658e-488a-90ad-6c0762a21f61
IN752111A1D,Nimapara_Shyamsundarpur_DPP,Nimapara_Shyamsundarpur_DPP (Orissa),Nimapara,DC,Inactive,East,Orissa,India,20.066956,85.99811,19733c2e-dd20-49f7-8704-84964f98a408,"Nimapara,Near Pani tanki,pincode-752106	",,752106,FALSE,FALSE,NIM/SHY,East,Bhubaneshwar_Central_H_6,63b85367-4bfe-40a1-ac62-e2360b5e90d3
INUPARAV,Noida_Sector84_H,Noida_Sector84_H (Uttar Pradesh),Noida,HUB,Deboarding,North,Uttar Pradesh,India,28.528353,77.40911,e82b124b-8e27-4ade-a5ba-91dc55ba713d,"Block A-16,Sector - 84, Noida, UP-201305",9899425421,201305,FALSE,FALSE,NDIH,North,Noida_Sector63D_I,52e6aa34-50ae-4602-99b1-b2657c46945f
IND751007AAA,Bhubaneswar_ShdNgr_DC,Bhubaneswar_ShdNgr_DC (Orissa),Bhubaneshwar,DC,Deboarding,East,Orissa,India,20.287067,85.85144,66b35009-bef6-4846-b876-e5fc78e3fb9c,"Plot No- 734, Saheed Nagar, Bhubaneswar -751007",7008535324,751007,FALSE,TRUE,BBI/SHD,East,Bhubaneshwar_Central_H_6,63b85367-4bfe-40a1-ac62-e2360b5e90d3
INTSAOBV,Hyderabad_FedExVRTL_D,Hyderabad_FedExVRTL_D (Telangana),Hyderabad,"CP,DC",Active,South,Telangana,India,17.239107,78.3947,242f1062-0b77-406b-8133-323796ee7aa5,"Sy. No: 92/AA/2, Pedda Golla Pally, Shamshabad Mandal, Rangareddy Dist., Telangana- 501218",9542487026,501359,FALSE,TRUE,HYD/FED,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
INMHAAWJ,Amdapur_Haralkhed_DPP,Amdapur_Haralkhed_DPP (Maharashtra),Amdapur,DC,Active,West,Maharashtra,India,20.34922,76.25907,f67a842d-85a6-478c-9578-2286f8e8c054,At Amdapur Taluka Chikhli Dist Buldhana Maharashtra 444301,,444301,FALSE,TRUE,AMD/HRL,West,Aurangabad_Gngapr_H,72e7e403-e6c8-49f5-a367-fc1b1896958d
IND852220AAA,Alamnagar_Central_DPP_1,Alamnagar_Central_DPP_1 (Bihar),Alamnagar,DC,Inactive,East,Bihar,India,25.568163,86.90511,d6865188-4729-49af-83d1-2d23ed449621,"AT-KESHOPUR, P.O.-SINGHAR, P.S.-ALAMNAGAR ,DIST-MADHEPURA (BIHAR)-852220",,852220,FALSE,FALSE,ALM/cnt,East,Patna_Hub,f7cb4c76-da4f-4aef-8deb-30e841b2f709
INKLAOVF,Kazhakkoottam_Andoorkonam_D,Kazhakkoottam_Andoorkonam_D (Kerala),Kazhakkoottam,DC,Active,South,Kerala,India,8.597933,76.86778,1ec0d90c-b748-4938-a401-b13f9bdd6669,"Mubeena Building, Parambilpalam,Andoorkonam P O, Kazhakkoottam,Thiruvanathapuram,Kerala - 695584",7012989552,695584,FALSE,TRUE,KAZ/AND,South,Tirunelveli_Krishnapuram_H,88ceecaf-971b-48eb-82c2-d6d7c151b8e1
INRJAANU,DeoliRJ_SBI_DPP,DeoliRJ_SBI_DPP (Rajasthan),Deoli-RJ,DC,Inactive,North,Rajasthan,India,25.757532,75.38032,0fe6c37a-ddf4-4c70-ae54-d9c1db08908d,SHOP NO 1 NEAR SDM BANGLA KOTA ROAD DEOLI 304804,,304804,FALSE,FALSE,DEO/SBI,North,Ajmer_Parbatpura_I,fc4d665f-22dc-41fa-a579-4957cecfe400
IND132001AAA,Karnal,Karnal (Haryana),Karnal,DC,Inactive,North,Haryana,India,29.715874,77.02539,cb483c01-394b-4ba3-81ce-27632bb09879,"SP Colony, Phoosgarh Road, Karnal-132001 (Haryana)",,132001,FALSE,FALSE,KRN/HUD,North,Sonipat_Kundli_P,ae14ffb3-4c0e-4834-be08-d84910cd18d3
IN782460A1A,Diphu_ShymColony_D,Diphu_ShymColony_D (Assam),Diphu,DC,Active,East,Assam,India,25.844788,93.44492,1f5951de-c32a-48b1-baab-7826ec39a949,"RCRQ+2X Diphu, Assam,782460",9365329459,782460,FALSE,TRUE,DPH/SHM,East,Guwahati_Kaikchi_GW,7319a109-3eb1-4006-a339-167743387b03
