,Bharthal,Delhi_Amberhai_D,Delhi_ChhotialPalam_D,Delhi_Lajwanti,Delhi_SubhashNagar_D,Delhi_MyapuriPhase1_D,Delhi_MotiNgr_D,Delhi_Shadipur_D,Delhi_Karolbagh_D,Gurgaon_Nathupur_D,Gurgaon_Sector28_D,Gurgaon_MotiVhr_ACH,Gurgaon_Central_D_17,Gurgaon_Central_D_16,Delhi_Samlkha_D,Gurgaon_Central_D_15,Delhi_Matiala_D,Delhi_Vikaspri_DC,Delhi_Peeragarhi_D,Delhi_Mundka_D,Delhi_BudhVihar_D,Delhi_Najafgarh_D,Delhi_SaraswatiVihar_D,Delhi_Rohini_D,Delhi_Barwala,Delhi_KhanpurColony_D,Delhi_shahpurJat,Delhi_Mohammadpur,Delhi_MalviyaNagar_NDC,Gurgaon_Kadipur,Gurgaon_Hasanpur_D,Gurgaon_BadshahpurPPN_D,Gurgaon_Wazirabad_D,Delhi_JaitpurRd_D,Delhi_Mehrauli_D,Delhi_Ghitorni_D,Delhi_Okhla_D,Delhi_OkhlaPh2_D,Delhi_MyurVhrPhs3_D,Delhi_Patparganj_D,Delhi_Bhogal,Delhi_Daryaganj_D,Delhi_KhurejiKhas_D,Delhi_SDMOfcBurari_D,Delhi_KalyanVhr_D,Delhi_AshkVihr_D,Delhi_Jahangirpuri_D,Delhi_DilshdGrdn_D,Ghaziabad_Sahibabad_D,Delhi_DspnsryChwk_D,Ghaziabad_RjndrNgr_DC
Delhi_Daryaganj_D,57 mins,56 mins,44 mins,50 mins,42 mins,43 mins,42 mins,35 mins,25 mins,54 mins,57 mins,52 mins,54 mins,53 mins,43 mins,56 mins,57 mins,56 mins,44 mins,58 mins,54 mins,1 hour 13 mins,40 mins,43 mins,51 mins,35 mins,31 mins,32 mins,44 mins,1 hour 4 mins,1 hour 10 mins,1 hour 10 mins,1 hour 3 mins,40 mins,46 mins,52 mins,36 mins,36 mins,28 mins,25 mins,21 mins,1 min,,,,,,,,,
Delhi_KhurejiKhas_D,1 hour 5 mins,1 hour 4 mins,52 mins,58 mins,50 mins,51 mins,49 mins,44 mins,34 mins,1 hour 2 mins,1 hour 5 mins,1 hour 1 min,1 hour 2 mins,1 hour 2 mins,51 mins,1 hour 5 mins,1 hour 5 mins,1 hour 0 mins,47 mins,1 hour 1 min,57 mins,1 hour 22 mins,43 mins,46 mins,54 mins,44 mins,39 mins,37 mins,54 mins,1 hour 12 mins,1 hour 19 mins,1 hour 18 mins,1 hour 12 mins,41 mins,54 mins,59 mins,37 mins,36 mins,21 mins,13 mins,28 mins,15 mins,1 min,,,,,,,,
Delhi_SDMOfcBurari_D,1 hour 16 mins,1 hour 6 mins,58 mins,56 mins,40 mins,41 mins,34 mins,38 mins,41 mins,1 hour 13 mins,1 hour 16 mins,1 hour 12 mins,1 hour 13 mins,1 hour 13 mins,1 hour 3 mins,1 hour 16 mins,57 mins,45 mins,32 mins,45 mins,41 mins,1 hour 10 mins,28 mins,31 mins,39 mins,1 hour 4 mins,1 hour 0 mins,56 mins,1 hour 13 mins,1 hour 23 mins,1 hour 30 mins,1 hour 29 mins,1 hour 23 mins,1 hour 8 mins,1 hour 16 mins,1 hour 18 mins,1 hour 4 mins,1 hour 3 mins,57 mins,50 mins,50 mins,34 mins,44 mins,1 min,,,,,,,
Delhi_KalyanVhr_D,1 hour 4 mins,59 mins,49 mins,47 mins,31 mins,32 mins,25 mins,29 mins,20 mins,1 hour 1 min,1 hour 4 mins,59 mins,1 hour 1 min,1 hour 1 min,50 mins,1 hour 4 mins,56 mins,44 mins,31 mins,44 mins,42 mins,1 hour 10 mins,22 mins,33 mins,40 mins,53 mins,48 mins,44 mins,1 hour 3 mins,1 hour 11 mins,1 hour 17 mins,1 hour 17 mins,1 hour 10 mins,56 mins,1 hour 3 mins,1 hour 6 mins,52 mins,52 mins,46 mins,38 mins,39 mins,23 mins,32 mins,26 mins,1 min,,,,,,
Delhi_AshkVihr_D,1 hour 4 mins,56 mins,46 mins,44 mins,28 mins,29 mins,21 mins,25 mins,17 mins,1 hour 1 min,1 hour 4 mins,59 mins,1 hour 1 min,1 hour 1 min,50 mins,1 hour 4 mins,53 mins,42 mins,27 mins,41 mins,40 mins,1 hour 7 mins,20 mins,30 mins,39 mins,59 mins,51 mins,44 mins,1 hour 4 mins,1 hour 11 mins,1 hour 17 mins,1 hour 17 mins,1 hour 10 mins,1 hour 3 mins,1 hour 4 mins,1 hour 6 mins,1 hour 0 mins,59 mins,52 mins,45 mins,44 mins,30 mins,39 mins,31 mins,7 mins,1 min,,,,,
Delhi_Jahangirpuri_D,1 hour 8 mins,55 mins,47 mins,48 mins,32 mins,33 mins,26 mins,30 mins,34 mins,1 hour 5 mins,1 hour 8 mins,1 hour 4 mins,1 hour 5 mins,1 hour 5 mins,55 mins,1 hour 8 mins,46 mins,34 mins,21 mins,34 mins,30 mins,59 mins,17 mins,19 mins,28 mins,1 hour 0 mins,56 mins,48 mins,1 hour 9 mins,1 hour 15 mins,1 hour 22 mins,1 hour 21 mins,1 hour 15 mins,1 hour 4 mins,1 hour 9 mins,1 hour 10 mins,1 hour 0 mins,59 mins,53 mins,46 mins,47 mins,31 mins,40 mins,20 mins,20 mins,24 mins,1 min,,,,
Delhi_DilshdGrdn_D,1 hour 13 mins,1 hour 13 mins,1 hour 0 mins,1 hour 6 mins,56 mins,56 mins,48 mins,44 mins,32 mins,1 hour 10 mins,1 hour 13 mins,1 hour 9 mins,1 hour 10 mins,1 hour 10 mins,1 hour 0 mins,1 hour 13 mins,1 hour 13 mins,1 hour 1 min,48 mins,1 hour 1 min,58 mins,1 hour 27 mins,44 mins,52 mins,55 mins,51 mins,46 mins,44 mins,1 hour 1 min,1 hour 20 mins,1 hour 27 mins,1 hour 26 mins,1 hour 20 mins,52 mins,1 hour 1 min,1 hour 6 mins,48 mins,47 mins,23 mins,16 mins,35 mins,26 mins,19 mins,41 mins,29 mins,35 mins,36 mins,1 min,,,
Ghaziabad_Sahibabad_D,1 hour 12 mins,1 hour 11 mins,59 mins,1 hour 5 mins,57 mins,57 mins,57 mins,56 mins,43 mins,1 hour 9 mins,1 hour 12 mins,1 hour 7 mins,1 hour 8 mins,1 hour 8 mins,58 mins,1 hour 12 mins,1 hour 12 mins,1 hour 12 mins,59 mins,1 hour 13 mins,1 hour 9 mins,1 hour 28 mins,55 mins,1 hour 4 mins,1 hour 6 mins,48 mins,43 mins,41 mins,58 mins,1 hour 19 mins,1 hour 25 mins,1 hour 25 mins,1 hour 18 mins,50 mins,58 mins,1 hour 3 mins,46 mins,45 mins,21 mins,17 mins,32 mins,31 mins,24 mins,52 mins,41 mins,46 mins,48 mins,15 mins,1 min,,
Delhi_DspnsryChwk_D,1 hour 14 mins,1 hour 13 mins,1 hour 0 mins,1 hour 3 mins,48 mins,48 mins,41 mins,45 mins,32 mins,1 hour 10 mins,1 hour 13 mins,1 hour 9 mins,1 hour 10 mins,1 hour 10 mins,1 hour 0 mins,1 hour 13 mins,1 hour 4 mins,52 mins,39 mins,52 mins,49 mins,1 hour 18 mins,35 mins,38 mins,46 mins,56 mins,53 mins,50 mins,1 hour 6 mins,1 hour 20 mins,1 hour 27 mins,1 hour 27 mins,1 hour 20 mins,54 mins,1 hour 8 mins,1 hour 13 mins,50 mins,50 mins,41 mins,33 mins,41 mins,27 mins,30 mins,32 mins,26 mins,33 mins,27 mins,20 mins,33 mins,1 min,
Ghaziabad_RjndrNgr_DC,1 hour 14 mins,1 hour 13 mins,1 hour 1 min,1 hour 7 mins,59 mins,59 mins,58 mins,57 mins,45 mins,1 hour 11 mins,1 hour 14 mins,1 hour 9 mins,1 hour 10 mins,1 hour 10 mins,1 hour 0 mins,1 hour 14 mins,1 hour 14 mins,1 hour 9 mins,56 mins,1 hour 9 mins,1 hour 6 mins,1 hour 30 mins,52 mins,55 mins,1 hour 3 mins,50 mins,45 mins,43 mins,1 hour 0 mins,1 hour 21 mins,1 hour 27 mins,1 hour 27 mins,1 hour 20 mins,52 mins,1 hour 0 mins,1 hour 5 mins,48 mins,47 mins,24 mins,22 mins,34 mins,33 mins,29 mins,49 mins,42 mins,48 mins,44 mins,16 mins,14 mins,29 mins,1 min
